img_index,person,bicycle,car,motorcycle,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,microwave,oven,toaster,sink,refrigerator
244,0,0,1,0,1,0,1,1,0,1,0,0,0,0,0,1,1
245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
246,1,0,0,0,1,1,1,1,1,0,1,0,1,1,0,0,1
247,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,1,1
248,0,0,0,0,1,1,0,1,1,1,1,0,0,0,0,1,1
249,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0
250,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,1
251,1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1
252,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,1,0
253,0,0,0,0,1,1,0,1,1,1,1,0,0,1,0,1,1
254,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,1,1
255,0,0,0,0,1,1,1,0,1,0,1,0,0,1,0,1,1
256,0,0,1,0,1,1,1,0,0,1,1,0,0,0,0,1,1
257,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,1,1
258,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,0,0
259,1,0,0,0,1,1,1,1,1,1,1,0,0,0,0,1,0
260,0,0,0,0,1,1,1,1,1,0,1,0,1,0,0,0,1
261,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0
262,1,0,0,0,1,1,1,1,0,1,1,0,0,1,0,1,1
263,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0
264,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,1,1
265,1,0,1,0,1,0,1,1,1,1,0,0,0,0,0,1,0
266,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,1,0
267,0,0,0,0,1,1,1,1,1,1,1,0,1,1,0,1,1
268,1,0,0,0,0,1,0,0,0,1,1,0,1,1,0,1,0
269,0,0,0,1,1,1,1,0,0,1,0,0,0,0,0,1,1
270,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,1
